hidden_dim,reg,lr,iter,hr20
25,0.02,0.05,6,0.021701
45,0.02,0.05,6,0.021686
30,0.016,0.045,6,0.02085
25,0.016,0.05,6,0.020628
30,0.012,0.05,6,0.020607
25,0.02,0.055,6,0.020604
30,0.02,0.055,6,0.020565
25,0.02,0.06,6,0.020489
25,0.012,0.05,6,0.020424
25,0.012,0.045,6,0.02037
30,0.02,0.045,6,0.020102
25,0.016,0.045,6,0.019893
30,0.016,0.055,6,0.019743
25,0.012,0.055,6,0.019702
25,0.016,0.06,6,0.019606
40,0.012,0.05,6,0.019517
30,0.02,0.06,6,0.019454
35,0.02,0.055,6,0.019443
30,0.012,0.055,6,0.019267
25,0.01,0.045,6,0.019238
25,0.01,0.05,6,0.019232
35,0.016,0.045,6,0.019106
35,0.016,0.05,6,0.019066
30,0.01,0.05,6,0.018999
35,0.016,0.06,6,0.018899
25,0.016,0.055,6,0.018855
30,0.016,0.05,6,0.018771
40,0.016,0.045,6,0.018742
45,0.016,0.045,6,0.018738
30,0.01,0.06,6,0.018736
30,0.012,0.06,6,0.018546
30,0.012,0.045,6,0.018542
35,0.02,0.045,6,0.018479
25,0.02,0.045,6,0.018455
40,0.016,0.055,6,0.018414
35,0.016,0.055,6,0.018409
25,0.01,0.055,6,0.018318
40,0.016,0.05,6,0.018305
35,0.012,0.055,6,0.018274
40,0.02,0.05,6,0.018242
30,0.02,0.05,6,0.01824
30,0.01,0.045,6,0.018181
25,0.012,0.06,6,0.01814
35,0.01,0.055,6,0.018116
35,0.02,0.06,6,0.018103
40,0.012,0.055,6,0.018094
30,0.016,0.06,6,0.018044
45,0.02,0.045,6,0.018018
45,0.012,0.05,6,0.017966
45,0.016,0.06,6,0.017929
30,0.01,0.055,6,0.017839
35,0.01,0.05,6,0.017798
35,0.01,0.06,6,0.017726
45,0.016,0.05,6,0.017683
35,0.012,0.045,6,0.017665
40,0.02,0.045,6,0.017665
25,0.01,0.06,6,0.017657
40,0.01,0.06,6,0.017604
45,0.02,0.06,6,0.017526
45,0.016,0.055,6,0.017415
35,0.02,0.05,6,0.017348
45,0.012,0.06,6,0.017311
40,0.02,0.055,6,0.017235
35,0.012,0.05,6,0.017232
40,0.01,0.05,6,0.017163
45,0.01,0.045,6,0.017047
45,0.02,0.055,6,0.017045
40,0.016,0.06,6,0.017
35,0.01,0.045,6,0.016947
40,0.02,0.06,6,0.016867
45,0.01,0.055,6,0.016673
45,0.01,0.05,6,0.016669
45,0.012,0.055,6,0.016669
40,0.012,0.045,6,0.016547
40,0.01,0.055,6,0.016432
45,0.01,0.06,6,0.016399
45,0.012,0.045,6,0.016312
40,0.012,0.06,6,0.016277
35,0.012,0.06,6,0.01601
40,0.01,0.045,6,0.015844
